format	trial	phase	wall_s	maxrss_mb	user_s	sys_s	minor_faults	major_faults	gaf_lines	bin_bytes	bin_records	cov_md5	stderr_warns	gafpack_total_entries
v2	1	find_mems	24	1194	22.24	1.41	166867	8	-	-	-	-	-	-
v2	1	gafpack_cov_only	1.14	198	1.01	0.12	12843	39	4954592	79273456	4954591	c7ad02f5b5d1388d189a4e1cef70fcce	0	4954591
v2	1	gafpack_cov_gaf	1.84	203	1.67	0.16	13237	0	4954592	79273456	4954591	c7ad02f5b5d1388d189a4e1cef70fcce	0	4954591
v2	2	find_mems	23.44	1304	21.82	1.28	153427	8	-	-	-	-	-	-
v2	2	gafpack_cov_only	1.09	172	0.97	0.11	11198	38	4954592	79273456	4954591	c7ad02f5b5d1388d189a4e1cef70fcce	0	4954591
v2	2	gafpack_cov_gaf	1.83	198	1.66	0.16	12895	0	4954592	79273456	4954591	c7ad02f5b5d1388d189a4e1cef70fcce	0	4954591
v2	3	find_mems	22.31	1298	20.61	1.24	153348	8	-	-	-	-	-	-
v2	3	gafpack_cov_only	1.18	198	1.04	0.12	12877	38	4954592	79273456	4954591	c7ad02f5b5d1388d189a4e1cef70fcce	0	4954591
v2	3	gafpack_cov_gaf	1.8	189	1.63	0.16	12343	0	4954592	79273456	4954591	c7ad02f5b5d1388d189a4e1cef70fcce	0	4954591
v2	4	find_mems	24.71	1314	22.95	1.34	162613	12	-	-	-	-	-	-
v2	4	gafpack_cov_only	1.13	191	1.00	0.11	12423	38	4954592	79273456	4954591	c7ad02f5b5d1388d189a4e1cef70fcce	0	4954591
v2	4	gafpack_cov_gaf	1.92	210	1.70	0.18	13682	0	4954592	79273456	4954591	c7ad02f5b5d1388d189a4e1cef70fcce	0	4954591
v2	5	find_mems	22.77	1338	21.13	1.24	154768	28	-	-	-	-	-	-
v2	5	gafpack_cov_only	1.14	195	1.01	0.12	12683	39	4954592	79273456	4954591	c7ad02f5b5d1388d189a4e1cef70fcce	0	4954591
v2	5	gafpack_cov_gaf	1.93	216	1.71	0.19	14043	0	4954592	79273456	4954591	c7ad02f5b5d1388d189a4e1cef70fcce	0	4954591
